Date,Open,High,Low,Close,Adj Close,Volume
2020-12-30,88.169998,89.849998,88.010002,89.300003,88.890282,1166200
2020-12-31,89.129997,90.660004,88.730003,90.529999,90.114639,1224900
2021-01-04,91.989998,91.989998,88.099998,89.610001,89.198860,3621300
2021-01-05,89.269997,91.239998,89.250000,90.730003,90.313721,2477100
2021-01-06,92.500000,95.910004,92.349998,95.459999,95.022018,3101300
2021-01-07,96.760002,98.620003,96.510002,97.550003,97.102432,3550600
2021-01-08,97.809998,97.860001,95.050003,97.110001,96.664444,1865100
2021-01-11,95.529999,96.180000,94.510002,95.230003,94.793076,2570700
2021-01-12,95.669998,96.129997,94.169998,95.330002,94.892616,3011500
2021-01-13,95.459999,98.449997,95.269997,96.989998,96.544998,3122300
2021-01-14,97.320000,98.879997,96.559998,98.430000,97.978394,2024800
2021-01-15,96.730003,97.989998,95.110001,97.760002,97.311470,2848800
2021-01-19,98.919998,100.209999,98.139999,99.070000,98.615456,3318200
2021-01-20,100.769997,100.959999,98.599998,99.889999,99.431694,4129400
2021-01-21,98.000000,99.029999,93.000000,94.239998,93.807610,6011200
2021-01-22,93.559998,94.349998,91.139999,92.269997,91.846649,2975700
2021-01-25,90.570000,91.000000,86.940002,89.059998,88.651382,4005700
2021-01-26,89.519997,89.559998,86.610001,86.820000,86.421661,2235700
2021-01-27,84.730003,84.730003,81.820000,82.180000,81.802948,4599200
2021-01-28,83.690002,86.169998,83.010002,85.849998,85.456108,3690700
2021-01-29,85.129997,85.279999,82.660004,83.540001,83.156708,2402500
2021-02-01,84.379997,85.250000,81.269997,82.190002,81.812904,5108100
2021-02-02,84.000000,86.150002,83.459999,85.330002,84.938499,3023000
2021-02-03,85.169998,87.519997,84.330002,87.300003,86.899460,3795100
2021-02-04,87.910004,91.699997,87.510002,91.500000,91.080185,3364300
2021-02-05,92.660004,94.550003,92.580002,92.839996,92.414032,2453100
2021-02-08,93.239998,94.440002,92.580002,94.339996,93.907150,2465600
2021-02-09,93.550003,94.139999,92.410004,92.660004,92.234871,1901500
2021-02-10,93.629997,94.389999,92.860001,93.370003,92.941612,1403200
2021-02-11,93.510002,94.089996,91.459999,92.769997,92.344353,1187300
2021-02-12,92.900002,94.330002,92.739998,93.720001,93.290001,1420400
2021-02-16,93.669998,96.500000,92.550003,95.900002,95.459999,3051500
2021-02-17,94.650002,95.019997,90.610001,91.699997,91.699997,3730900
2021-02-18,91.300003,91.660004,88.660004,90.260002,90.260002,2088800
2021-02-19,91.389999,94.349998,91.230003,93.919998,93.919998,2544900
2021-02-22,93.529999,97.400002,93.129997,95.389999,95.389999,2070300
2021-02-23,95.970001,96.500000,92.680000,95.300003,95.300003,1957100
2021-02-24,95.790001,98.470001,94.839996,97.959999,97.959999,2510600
2021-02-25,98.550003,98.750000,93.650002,95.000000,95.000000,2818700
2021-02-26,94.440002,96.000000,92.400002,94.070000,94.070000,2256800
2021-03-01,96.440002,98.860001,96.419998,97.870003,97.870003,2051200
2021-03-02,97.639999,98.389999,96.440002,96.540001,96.540001,1362800
2021-03-03,97.089996,98.900002,96.699997,96.760002,96.760002,1982400
2021-03-04,95.879997,97.980003,92.269997,95.400002,95.400002,2049400
2021-03-05,97.480003,98.099998,92.199997,98.019997,98.019997,1960900
2021-03-08,98.500000,99.599998,96.919998,97.919998,97.919998,2141800
2021-03-09,97.639999,98.910004,96.120003,97.529999,97.529999,2088000
2021-03-10,98.000000,100.919998,97.889999,99.610001,99.610001,2174000
2021-03-11,99.410004,103.400002,98.480003,102.269997,102.269997,2127600
2021-03-12,103.470001,104.489998,101.779999,102.269997,102.269997,2071300
2021-03-15,101.599998,102.260002,97.510002,100.720001,100.720001,2936300
2021-03-16,99.959999,100.949997,97.080002,98.620003,98.620003,2408800
2021-03-17,99.629997,99.989998,97.110001,99.080002,99.080002,2265000
2021-03-18,99.430000,100.129997,95.230003,95.680000,95.680000,2623400
2021-03-19,95.000000,96.500000,93.260002,94.779999,94.779999,8960800
